drug,drug_inn,disease,mechanism_target,terminal_relation,mechanism_strength,composite_confidence,pubmed_comentions,pubmed_drug_in_cancer,novelty_class,known_cheap_generic,any_trial_or_paper_found,verdict_WORTH_READING_TRIED_WRONG,checker_note,target_zone
Ritonavir,Ritonavir,RCC,AKT1,associated_with,co-occurrence,0.3575,0,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,GIST,AKT1,associated_with,co-occurrence,0.3575,0,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,NSCLC,AKT1,associated_with,co-occurrence,0.3575,6,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,Melanoma,AKT1,associated_with,co-occurrence,0.3575,3,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,Ewing_Sarcoma,AKT1,associated_with,co-occurrence,0.3575,0,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,HCC,AKT1,associated_with,co-occurrence,0.3575,26,236,WELL_STUDIED_PAIR,YES,,,,
Ritonavir,Ritonavir,Breast_Cancer,AKT1,associated_with,co-occurrence,0.3575,47,236,WELL_STUDIED_PAIR,YES,,,,
Ritonavir,Ritonavir,Multiple_Myeloma,AKT1,associated_with,co-occurrence,0.3575,14,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Bazedoxifene,Bazedoxifene,Soft_Tissue_Sarcoma,STAT3,associated_with,co-occurrence,0.3575,0,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,Myelofibrosis,STAT3,associated_with,co-occurrence,0.3575,0,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,Type2_Diabetes,STAT3,associated_with,co-occurrence,0.3575,0,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,Glioblastoma,STAT3,associated_with,co-occurrence,0.3575,2,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,Li_Fraumeni_Syndrome,STAT3,associated_with,co-occurrence,0.3575,0,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,Prostate_Cancer,STAT3,associated_with,co-occurrence,0.3575,4,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,CLL,STAT3,associated_with,co-occurrence,0.3575,1,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,RCC,STAT3,associated_with,co-occurrence,0.3575,0,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,GIST,STAT3,associated_with,co-occurrence,0.3575,0,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,Melanoma,STAT3,associated_with,co-occurrence,0.3575,0,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,Ewing_Sarcoma,STAT3,associated_with,co-occurrence,0.3575,0,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,HCC,STAT3,associated_with,co-occurrence,0.3575,2,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,Breast_Cancer,STAT3,associated_with,co-occurrence,0.3575,125,174,WELL_STUDIED_PAIR,,,,,
Cimetidine,Cimetidine,AML,NFKB1,associated_with,co-occurrence,0.34,2,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,AML,NFKB1,associated_with,co-occurrence,0.34,4,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,Pancreatic_Cancer,VEGFR2,associated_with,co-occurrence,0.33,16,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,Ovarian_Cancer,VEGFR2,associated_with,co-occurrence,0.33,20,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,Myelofibrosis,VEGFR2,associated_with,co-occurrence,0.33,0,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,Type2_Diabetes,VEGFR2,associated_with,co-occurrence,0.33,0,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,Glioblastoma,VEGFR2,associated_with,co-occurrence,0.33,10,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,Li_Fraumeni_Syndrome,VEGFR2,associated_with,co-occurrence,0.33,0,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,CML,VEGFR2,associated_with,co-occurrence,0.33,1,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,Prostate_Cancer,VEGFR2,associated_with,co-occurrence,0.33,20,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,CLL,VEGFR2,associated_with,co-occurrence,0.33,0,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,NSCLC,VEGFR2,associated_with,co-occurrence,0.33,10,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,Melanoma,VEGFR2,associated_with,co-occurrence,0.33,61,442,WELL_STUDIED_PAIR,YES,,,,
Propranolol,Propranolol,Ewing_Sarcoma,VEGFR2,associated_with,co-occurrence,0.33,0,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,Breast_Cancer,VEGFR2,associated_with,co-occurrence,0.33,90,442,WELL_STUDIED_PAIR,YES,,,,
Propranolol,Propranolol,Multiple_Myeloma,VEGFR2,associated_with,co-occurrence,0.33,12,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Aspirin,Aspirin,Pancreatic_Cancer,STAT3,associated_with,co-occurrence,0.33,125,4583,WELL_STUDIED_PAIR,YES,,,,
Aspirin,Aspirin,Soft_Tissue_Sarcoma,STAT3,associated_with,co-occurrence,0.33,2,4583,KNOWN_DRUG_NEW_CANCER,YES,,,,
Aspirin,Aspirin,Myelofibrosis,STAT3,associated_with,co-occurrence,0.33,138,4583,WELL_STUDIED_PAIR,YES,,,,
Aspirin,Aspirin,Type2_Diabetes,STAT3,associated_with,co-occurrence,0.33,1,4583,KNOWN_DRUG_NEW_CANCER,YES,,,,
Aspirin,Aspirin,Glioblastoma,STAT3,associated_with,co-occurrence,0.33,23,4583,KNOWN_DRUG_NEW_CANCER,YES,,,,
Aspirin,Aspirin,Li_Fraumeni_Syndrome,STAT3,associated_with,co-occurrence,0.33,3,4583,KNOWN_DRUG_NEW_CANCER,YES,,,,
Aspirin,Aspirin,CML,STAT3,associated_with,co-occurrence,0.33,18,4583,KNOWN_DRUG_NEW_CANCER,YES,,,,
Aspirin,Aspirin,Prostate_Cancer,STAT3,associated_with,co-occurrence,0.33,276,4583,WELL_STUDIED_PAIR,YES,,,,
Aspirin,Aspirin,RCC,STAT3,associated_with,co-occurrence,0.33,14,4583,KNOWN_DRUG_NEW_CANCER,YES,,,,
Aspirin,Aspirin,GIST,STAT3,associated_with,co-occurrence,0.33,3,4583,KNOWN_DRUG_NEW_CANCER,YES,,,,
Aspirin,Aspirin,NSCLC,STAT3,associated_with,co-occurrence,0.33,43,4583,WELL_STUDIED_PAIR,YES,,,,
Aspirin,Aspirin,Melanoma,STAT3,associated_with,co-occurrence,0.33,108,4583,WELL_STUDIED_PAIR,YES,,,,
Aspirin,Aspirin,Ewing_Sarcoma,STAT3,associated_with,co-occurrence,0.33,0,4583,KNOWN_DRUG_NEW_CANCER,YES,,,,
Aspirin,Aspirin,Multiple_Myeloma,STAT3,associated_with,co-occurrence,0.33,114,4583,WELL_STUDIED_PAIR,YES,,,,
Disulfiram,Disulfiram,Ewing_Sarcoma,TP53,associated_with,co-occurrence,0.33,1,590,KNOWN_DRUG_NEW_CANCER,YES,,,,
Diclofenac,Diclofenac,Pancreatic_Cancer,MYC,associated_with,co-occurrence,0.3025,12,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,Soft_Tissue_Sarcoma,MYC,associated_with,co-occurrence,0.3025,1,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,Myelofibrosis,MYC,associated_with,co-occurrence,0.3025,1,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,Type2_Diabetes,MYC,associated_with,co-occurrence,0.3025,0,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,Glioblastoma,MYC,associated_with,co-occurrence,0.3025,10,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,Li_Fraumeni_Syndrome,MYC,associated_with,co-occurrence,0.3025,0,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,CML,MYC,associated_with,co-occurrence,0.3025,2,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,Prostate_Cancer,MYC,associated_with,co-occurrence,0.3025,16,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,RCC,MYC,associated_with,co-occurrence,0.3025,0,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,GIST,MYC,associated_with,co-occurrence,0.3025,1,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,NSCLC,MYC,associated_with,co-occurrence,0.3025,4,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,Melanoma,MYC,associated_with,co-occurrence,0.3025,57,463,WELL_STUDIED_PAIR,,,,,
Diclofenac,Diclofenac,Ewing_Sarcoma,MYC,associated_with,co-occurrence,0.3025,0,463,KNOWN_DRUG_NEW_CANCER,,,,,
Artesunate,Artesunate,Pancreatic_Cancer,VEGFR2,associated_with,co-occurrence,0.3025,10,458,KNOWN_DRUG_NEW_CANCER,,,,,
Artesunate,Artesunate,Ovarian_Cancer,VEGFR2,associated_with,co-occurrence,0.3025,22,458,KNOWN_DRUG_NEW_CANCER,,,,,
Artesunate,Artesunate,Myelofibrosis,VEGFR2,associated_with,co-occurrence,0.3025,0,458,KNOWN_DRUG_NEW_CANCER,,,,,
Artesunate,Artesunate,Type2_Diabetes,VEGFR2,associated_with,co-occurrence,0.3025,0,458,KNOWN_DRUG_NEW_CANCER,,,,,
Artesunate,Artesunate,Glioblastoma,VEGFR2,associated_with,co-occurrence,0.3025,21,458,KNOWN_DRUG_NEW_CANCER,,,,,
Artesunate,Artesunate,Li_Fraumeni_Syndrome,VEGFR2,associated_with,co-occurrence,0.3025,0,458,KNOWN_DRUG_NEW_CANCER,,,,,
Artesunate,Artesunate,CML,VEGFR2,associated_with,co-occurrence,0.3025,5,458,KNOWN_DRUG_NEW_CANCER,,,,,
Artesunate,Artesunate,Prostate_Cancer,VEGFR2,associated_with,co-occurrence,0.3025,14,458,KNOWN_DRUG_NEW_CANCER,,,,,
Artesunate,Artesunate,CLL,VEGFR2,associated_with,co-occurrence,0.3025,0,458,KNOWN_DRUG_NEW_CANCER,,,,,
Artesunate,Artesunate,NSCLC,VEGFR2,associated_with,co-occurrence,0.3025,24,458,KNOWN_DRUG_NEW_CANCER,,,,,
Artesunate,Artesunate,Melanoma,VEGFR2,associated_with,co-occurrence,0.3025,27,458,WELL_STUDIED_PAIR,,,,,
Artesunate,Artesunate,Ewing_Sarcoma,VEGFR2,associated_with,co-occurrence,0.3025,0,458,KNOWN_DRUG_NEW_CANCER,,,,,
Artesunate,Artesunate,Breast_Cancer,VEGFR2,associated_with,co-occurrence,0.3025,56,458,WELL_STUDIED_PAIR,,,,,
Artesunate,Artesunate,Multiple_Myeloma,VEGFR2,associated_with,co-occurrence,0.3025,10,458,KNOWN_DRUG_NEW_CANCER,,,,,
Cimetidine,Cimetidine,Pancreatic_Cancer,VEGFR2,associated_with,co-occurrence,0.3025,3,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cimetidine,Cimetidine,Ovarian_Cancer,VEGFR2,associated_with,co-occurrence,0.3025,15,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cimetidine,Cimetidine,Myelofibrosis,VEGFR2,associated_with,co-occurrence,0.3025,0,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cimetidine,Cimetidine,Type2_Diabetes,VEGFR2,associated_with,co-occurrence,0.3025,0,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cimetidine,Cimetidine,Glioblastoma,VEGFR2,associated_with,co-occurrence,0.3025,6,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cimetidine,Cimetidine,Li_Fraumeni_Syndrome,VEGFR2,associated_with,co-occurrence,0.3025,0,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cimetidine,Cimetidine,CML,VEGFR2,associated_with,co-occurrence,0.3025,0,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cimetidine,Cimetidine,Prostate_Cancer,VEGFR2,associated_with,co-occurrence,0.3025,7,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cimetidine,Cimetidine,CLL,VEGFR2,associated_with,co-occurrence,0.3025,4,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cimetidine,Cimetidine,NSCLC,VEGFR2,associated_with,co-occurrence,0.3025,4,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cimetidine,Cimetidine,Melanoma,VEGFR2,associated_with,co-occurrence,0.3025,74,355,WELL_STUDIED_PAIR,YES,,,,
Cimetidine,Cimetidine,Ewing_Sarcoma,VEGFR2,associated_with,co-occurrence,0.3025,0,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cimetidine,Cimetidine,Multiple_Myeloma,VEGFR2,associated_with,co-occurrence,0.3025,3,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Celecoxib,Celecoxib,Pancreatic_Cancer,AKT1,associated_with,co-occurrence,0.3025,60,2020,WELL_STUDIED_PAIR,YES,,,,
Celecoxib,Celecoxib,Soft_Tissue_Sarcoma,AKT1,associated_with,co-occurrence,0.3025,3,2020,KNOWN_DRUG_NEW_CANCER,YES,,,,
Celecoxib,Celecoxib,Myelofibrosis,AKT1,associated_with,co-occurrence,0.3025,1,2020,KNOWN_DRUG_NEW_CANCER,YES,,,,
Celecoxib,Celecoxib,Type2_Diabetes,AKT1,associated_with,co-occurrence,0.3025,0,2020,KNOWN_DRUG_NEW_CANCER,YES,,,,
Celecoxib,Celecoxib,Li_Fraumeni_Syndrome,AKT1,associated_with,co-occurrence,0.3025,0,2020,KNOWN_DRUG_NEW_CANCER,YES,,,,
Celecoxib,Celecoxib,Prostate_Cancer,AKT1,associated_with,co-occurrence,0.3025,128,2020,WELL_STUDIED_PAIR,YES,,,,
Celecoxib,Celecoxib,RCC,AKT1,associated_with,co-occurrence,0.3025,9,2020,KNOWN_DRUG_NEW_CANCER,YES,,,,
Celecoxib,Celecoxib,GIST,AKT1,associated_with,co-occurrence,0.3025,0,2020,KNOWN_DRUG_NEW_CANCER,YES,,,,
Celecoxib,Celecoxib,NSCLC,AKT1,associated_with,co-occurrence,0.3025,83,2020,WELL_STUDIED_PAIR,YES,,,,
Celecoxib,Celecoxib,Ewing_Sarcoma,AKT1,associated_with,co-occurrence,0.3025,5,2020,KNOWN_DRUG_NEW_CANCER,YES,,,,
Celecoxib,Celecoxib,Multiple_Myeloma,AKT1,associated_with,co-occurrence,0.3025,6,2020,KNOWN_DRUG_NEW_CANCER,YES,,,,
Atorvastatin,Atorvastatin,Ovarian_Cancer,MTOR,associated_with,co-occurrence,0.3025,13,566,KNOWN_DRUG_NEW_CANCER,YES,,,,
Atorvastatin,Atorvastatin,Soft_Tissue_Sarcoma,MTOR,associated_with,co-occurrence,0.3025,0,566,KNOWN_DRUG_NEW_CANCER,YES,,,,
Atorvastatin,Atorvastatin,Myelofibrosis,MTOR,associated_with,co-occurrence,0.3025,1,566,KNOWN_DRUG_NEW_CANCER,YES,,,,
Atorvastatin,Atorvastatin,Type2_Diabetes,MTOR,associated_with,co-occurrence,0.3025,0,566,KNOWN_DRUG_NEW_CANCER,YES,,,,
Atorvastatin,Atorvastatin,Li_Fraumeni_Syndrome,MTOR,associated_with,co-occurrence,0.3025,0,566,KNOWN_DRUG_NEW_CANCER,YES,,,,
Atorvastatin,Atorvastatin,CML,MTOR,associated_with,co-occurrence,0.3025,5,566,KNOWN_DRUG_NEW_CANCER,YES,,,,
Atorvastatin,Atorvastatin,CLL,MTOR,associated_with,co-occurrence,0.3025,2,566,KNOWN_DRUG_NEW_CANCER,YES,,,,
Atorvastatin,Atorvastatin,GIST,MTOR,associated_with,co-occurrence,0.3025,0,566,KNOWN_DRUG_NEW_CANCER,YES,,,,
Atorvastatin,Atorvastatin,Ewing_Sarcoma,MTOR,associated_with,co-occurrence,0.3025,0,566,KNOWN_DRUG_NEW_CANCER,YES,,,,
Atorvastatin,Atorvastatin,Multiple_Myeloma,MTOR,associated_with,co-occurrence,0.3025,8,566,KNOWN_DRUG_NEW_CANCER,YES,,,,
Chloroquine,Chloroquine,Pancreatic_Cancer,MTOR,associated_with,co-occurrence,0.3025,123,1971,WELL_STUDIED_PAIR,YES,,,,
Chloroquine,Chloroquine,Myelofibrosis,MTOR,associated_with,co-occurrence,0.3025,0,1971,KNOWN_DRUG_NEW_CANCER,YES,,,,
Chloroquine,Chloroquine,Type2_Diabetes,MTOR,associated_with,co-occurrence,0.3025,0,1971,KNOWN_DRUG_NEW_CANCER,YES,,,,
Chloroquine,Chloroquine,Glioblastoma,MTOR,associated_with,co-occurrence,0.3025,135,1971,WELL_STUDIED_PAIR,YES,,,,
Chloroquine,Chloroquine,CML,MTOR,associated_with,co-occurrence,0.3025,25,1971,KNOWN_DRUG_NEW_CANCER,YES,,,,
Chloroquine,Chloroquine,Prostate_Cancer,MTOR,associated_with,co-occurrence,0.3025,79,1971,WELL_STUDIED_PAIR,YES,,,,
Chloroquine,Chloroquine,GIST,MTOR,associated_with,co-occurrence,0.3025,2,1971,KNOWN_DRUG_NEW_CANCER,YES,,,,
Chloroquine,Chloroquine,Melanoma,MTOR,associated_with,co-occurrence,0.3025,160,1971,WELL_STUDIED_PAIR,YES,,,,
Chloroquine,Chloroquine,Ewing_Sarcoma,MTOR,associated_with,co-occurrence,0.3025,1,1971,KNOWN_DRUG_NEW_CANCER,YES,,,,
Chloroquine,Chloroquine,HCC,MTOR,associated_with,co-occurrence,0.3025,105,1971,WELL_STUDIED_PAIR,YES,,,,
Chloroquine,Chloroquine,Multiple_Myeloma,MTOR,associated_with,co-occurrence,0.3025,31,1971,WELL_STUDIED_PAIR,YES,,,,
Disulfiram,Disulfiram,Myelofibrosis,TP53,associated_with,co-occurrence,0.3025,0,590,KNOWN_DRUG_NEW_CANCER,YES,,,,
Disulfiram,Disulfiram,CML,TP53,associated_with,co-occurrence,0.3025,0,590,KNOWN_DRUG_NEW_CANCER,YES,,,,
Disulfiram,Disulfiram,Prostate_Cancer,TP53,associated_with,co-occurrence,0.3025,27,590,WELL_STUDIED_PAIR,YES,,,,
Disulfiram,Disulfiram,RCC,TP53,associated_with,co-occurrence,0.3025,4,590,KNOWN_DRUG_NEW_CANCER,YES,,,,
Disulfiram,Disulfiram,GIST,TP53,associated_with,co-occurrence,0.3025,0,590,KNOWN_DRUG_NEW_CANCER,YES,,,,
Disulfiram,Disulfiram,Melanoma,TP53,associated_with,co-occurrence,0.3025,36,590,WELL_STUDIED_PAIR,YES,,,,
Disulfiram,Disulfiram,Multiple_Myeloma,TP53,associated_with,co-occurrence,0.3025,7,590,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,Soft_Tissue_Sarcoma,MTOR,associated_with,co-occurrence,0.275,0,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,Myelofibrosis,MTOR,associated_with,co-occurrence,0.275,1,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,Type2_Diabetes,MTOR,associated_with,co-occurrence,0.275,1,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,Glioblastoma,MTOR,associated_with,co-occurrence,0.275,0,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,Li_Fraumeni_Syndrome,MTOR,associated_with,co-occurrence,0.275,0,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,Prostate_Cancer,MTOR,associated_with,co-occurrence,0.275,2,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,CLL,MTOR,associated_with,co-occurrence,0.275,3,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,GIST,MTOR,associated_with,co-occurrence,0.275,0,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,Melanoma,MTOR,associated_with,co-occurrence,0.275,7,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,Ewing_Sarcoma,MTOR,associated_with,co-occurrence,0.275,0,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,HCC,MTOR,associated_with,co-occurrence,0.275,1,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Leflunomide,Leflunomide,Pancreatic_Cancer,STAT3,associated_with,co-occurrence,0.275,5,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,Ovarian_Cancer,STAT3,associated_with,co-occurrence,0.275,0,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,Myelofibrosis,STAT3,associated_with,co-occurrence,0.275,0,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,Type2_Diabetes,STAT3,associated_with,co-occurrence,0.275,0,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,Li_Fraumeni_Syndrome,STAT3,associated_with,co-occurrence,0.275,0,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,Prostate_Cancer,STAT3,associated_with,co-occurrence,0.275,2,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,CLL,STAT3,associated_with,co-occurrence,0.275,4,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,NSCLC,STAT3,associated_with,co-occurrence,0.275,1,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,Ewing_Sarcoma,STAT3,associated_with,co-occurrence,0.275,0,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,Breast_Cancer,STAT3,associated_with,co-occurrence,0.275,20,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,Multiple_Myeloma,STAT3,associated_with,co-occurrence,0.275,6,101,KNOWN_DRUG_NEW_CANCER,,,,,
